Supplementary Table 2: qGI Genetic Interaction Scores,,,,,,,,,
gene,FASN_merge,ACACA,LDLR,SREBF1,SREBF2,C12orf49,qGI_FASN_a,qGI_FASN_b,qGI_FASN_c
AQP10,0.01444203,-0.231451392,-0.173923378,-0.219411333,-0.412973803,-0.015728268,-0.27,0.10,-0.09
TTI1,-0.281689012,-0.231394522,0.168690832,-0.138941176,-0.244893183,-0.050017955,-0.27,-0.13,0.01
ZNF254,0.145885798,-0.231269063,-0.050767238,0.08286374,0.302678723,0.030848615,-0.27,0.21,-0.18
MMS22L,-0.373086596,-0.231261303,-0.261937311,-0.129154322,-0.016148613,0.051666037,-0.27,0.11,-0.32
OR9Q1,0.000558944,-0.23121763,0.014314188,0.115594281,0.024062785,0.082516499,-0.27,0.11,0.13
MED20,-0.179821621,-0.231119317,-0.045333086,-0.13334015,0.187885282,-0.129838733,-0.27,0.09,-0.28
ORAI3,0.086595415,-0.231022336,0.117021907,-0.00528534,-0.108940318,-0.164099578,-0.27,0.15,-0.11
SMU1,-0.112330182,-0.231013191,0.09729411,0.041823796,0.152310584,-0.004724595,-0.27,0.13,0.33
ZNF501,0.344930145,-0.230967691,-0.027624007,-0.017188378,-0.078809575,-0.085759114,-0.27,-0.02,0.01
ELL3,0.038884778,-0.230959727,-0.04368547,-0.254049863,-0.066296308,0.051462801,-0.27,-0.40,-0.03
LAMTOR4,0.608565027,-0.230929292,0.793654153,-0.020044155,0.061512645,-0.468225335,-0.27,-0.07,-0.18
NDUFB6,-0.144227983,-0.230871114,0.25670559,-0.168805709,0.071581002,0.111387049,-0.27,0.26,-0.02
ELAVL4,0.069132221,-0.230841679,-0.318998668,-0.179153149,-0.129920752,0.136760711,-0.27,-0.28,-0.28
CPS1,0.061072702,-0.230788698,0.130103528,0.017561196,-0.140436705,0.047501638,-0.27,0.01,-0.07
PRNP,-0.088940456,-0.230769277,0.160464576,-0.216147134,-0.018596902,0.080100598,-0.27,-0.23,-0.11
C17orf70,-0.305071821,-0.23053027,0.041238609,0.034926858,-0.0734897,-0.099565445,-0.27,0.34,-0.04
HES2,-0.011628033,-0.230528246,0.091322559,0.035292727,-0.006280392,0.128441975,-0.27,-0.21,0.07
CLSTN2,0.001402021,-0.230516361,-0.099060991,0.226332391,-0.003395832,0.046372729,-0.27,0.05,-0.20
APH1B,-0.153683141,-0.230447875,-0.256546976,0.00288856,0.248925609,-0.129817007,-0.27,-0.19,-0.30
TOMM20L,-0.022006957,-0.23032738,0.060992971,0.020607026,-0.253194252,-0.060159933,-0.27,-0.20,-0.37
PER1,-0.093577583,-0.230326705,-0.161543704,0.118634595,-0.126015253,0.103910408,-0.27,-0.19,-0.24
NAIP,-0.107702676,-0.230275754,-0.021732019,0.076674973,0.049510099,-0.138728588,-0.26,0.20,-0.21
RPS6KA4,0.063598588,-0.230270248,-0.194219763,-0.032397859,-0.084380343,-0.020861083,-0.26,0.31,0.31
PYDC2,0.115853454,-0.230235492,0.13798865,0.040830518,0.01624356,0.020420569,-0.26,0.14,-0.09
ZSCAN10,0.041239815,-0.230172355,0.17301243,0.174364961,-0.293025217,-0.145664574,-0.26,-0.02,0.02
NUPR1L,-0.097535937,-0.23014834,-0.275832204,-0.046937666,-0.026854229,0.132978373,-0.26,-0.35,0.54
TWF2,-0.116629421,-0.230110056,-0.207654402,0.105712586,-0.29930689,-0.233910866,-0.26,0.05,-0.10
NOP16,0.275559292,-0.230098774,0.209247777,0.040410747,-0.140517951,0.042870755,-0.26,0.09,-0.21
CALB1,-0.102850977,-0.230051919,-0.188184936,-0.06721365,-0.078515814,-0.001324658,-0.26,0.04,-0.03
CREB3L2,0.21683232,-0.230045735,0.196852068,0.005347242,0.008087454,-0.013811566,-0.26,-0.10,0.26
OR4A47,-0.11746213,-0.230018446,0.202796538,0.027008231,0.054803726,0.141984069,-0.26,0.04,0.11
SUGP1,-0.518870527,-0.229861164,-0.406797185,-0.030374147,-0.38087469,-0.582164375,-0.26,0.09,0.14
GLO1,-0.046266711,-0.229787474,-0.13685736,-0.015886209,-0.070169181,0.194263772,-0.26,-0.14,0.09
BRCA2,-0.118394158,-0.229774391,0.046437327,-0.311033793,-0.163462564,-0.264261271,-0.26,0.02,-0.24
SLC25A23,-0.124292463,-0.22975142,-0.216693194,0.143754554,-0.013249405,0.125025937,-0.26,-0.09,0.04
ZC3H6,0.16595388,-0.22965452,0.014726402,0.00316989,0.124461341,0.321785024,-0.26,-0.57,0.22
PAPPA,0.065863163,-0.229643477,0.092152873,-0.204930827,-0.064241434,-0.128778879,-0.26,0.36,0.18
ASGR1,0.031343078,-0.229359559,-0.113905194,0.320984674,0.115597174,-0.2823854,-0.26,-0.24,-0.25
C11orf63,0.009599504,-0.229333644,0.106008806,0.024834999,-0.154571831,-0.034644536,-0.26,-0.02,0.22
PPL,-0.054731629,-0.229288048,-0.002853428,0.063171544,0.054105572,-0.143737964,-0.26,-0.54,-0.05
NTMT1,0.037650398,-0.229258951,0.092679833,0.060819039,0.138672081,0.110179299,-0.26,-0.06,-0.09
NOSIP,-0.649637478,-0.229224678,0.306216612,0.159646089,-0.093572546,-0.400862043,-0.26,0.08,-0.28
TM4SF18,0.053035402,-0.22921395,-0.123337683,-0.337729044,-0.093492357,-0.11470392,-0.26,-0.12,-0.06
DTYMK,-0.323008248,-0.229180442,0.155181076,0.117159446,0.482672689,0.207774562,-0.26,0.23,0.10
WDR3,0.016270049,-0.22915047,0.034330416,-0.038569412,0.110108638,-0.31032971,-0.26,0.15,0.00
NELFA,0.411932875,-0.229138861,0.419085136,-0.399294541,0.201401478,-0.557315105,-0.26,0.21,-0.05
SIT1,0.174371414,-0.2291277,0.078072364,0.026315902,0.0333139,0.028339409,-0.26,-0.69,-0.45
SMIM11,0.206271861,-0.229082267,-0.042945924,0.181697656,-0.108369356,0.142895451,-0.26,0.01,-0.15
SLC22A18AS,0.008048284,-0.229013039,0.023488492,0.036855151,-0.186383888,0.061564448,-0.26,-0.50,-0.09
HINT2,0.00630306,-0.228925734,0.024617429,0.071582827,-0.033590582,-0.187864361,-0.26,-0.09,0.03
CCK,0.0855134,-0.228737157,0.024282517,-0.118338655,0.090280958,0.184957275,-0.26,-0.31,-0.21
IL16,-0.103884678,-0.228720231,-0.094278942,-0.140023477,-0.217795927,-0.034635272,-0.26,-0.02,0.01
CC2D2B,0.214366702,-0.228659913,0.142429008,-0.156981728,-0.231809152,-0.026419259,-0.26,-0.25,0.05
L2HGDH,0.03313284,-0.228648348,0.088291896,-0.152012202,0.019046637,0.284366242,-0.26,-0.06,-0.33
KLF1,-0.10646384,-0.228538744,-0.1112709,-0.200204398,0.100586019,-0.117133156,-0.26,-0.32,0.05
C5orf55,-0.037479219,-0.228497386,-0.019933462,-0.01004216,-0.322292815,0.023063045,-0.26,0.08,-0.23
TRMT6,-0.068272464,-0.22841345,-0.01713143,0.097754941,-0.163448536,0.179307251,-0.26,-0.06,-0.17
KIAA0368,0.046220335,-0.228356885,0.067529154,0.21864927,0.049089364,-0.198522337,-0.26,-0.39,0.19
AS3MT,0.028572513,-0.228351248,0.143879465,0.072560316,0.118859093,0.155127723,-0.26,0.04,-0.14
VANGL2,0.02888396,-0.228338023,-0.022047825,-0.006533584,0.284395238,0.196038109,-0.26,0.05,-0.20
SAFB,-0.498336719,-0.228333078,-0.633632162,0.138969842,-0.188306299,0.000850769,-0.26,-0.22,0.13
ADAMTS18,-0.084790231,-0.228302813,0.154989093,0.074925586,0.158957886,0.127728215,-0.26,0.23,0.00
TMEM147,-0.436547529,-0.22824975,0.153493428,0.250465267,0.094558693,0.025451958,-0.26,0.24,0.26
RAMP3,0.186918694,-0.228245582,0.067179288,0.309211803,-0.124085825,0.041561893,-0.26,0.12,-0.11
KCNK15,0.111720066,-0.228208103,-0.227843481,-0.050400042,0.012060296,0.204504087,-0.26,0.11,0.17
EHMT1,0.39396676,-0.228120169,0.115052956,0.254890713,0.384480302,-0.04657129,-0.26,0.06,-0.14
PJA1,0.167648747,-0.22803414,0.073729275,-0.10645062,0.291812255,0.251255648,-0.26,-0.06,0.13
STX1B,0.095290289,-0.228004626,-0.287391093,0.133099509,-0.119623547,-0.171022922,-0.26,-0.05,0.25
CNOT2,-0.949531224,-0.227983836,0.085767448,-0.523335626,0.170430203,-0.000813354,-0.26,-0.34,0.19
MTTP,0.009159683,-0.227890238,-0.163913737,0.017251715,-0.333203016,0.16475364,-0.26,-0.03,0.23
ALPPL2,0.015014503,-0.227832735,-0.082884325,0.496550219,-0.002595982,0.17199657,-0.26,0.26,0.12
CD19,-0.138826433,-0.227791218,-0.184403629,0.105266417,0.162572713,0.055304684,-0.26,0.10,-0.15
TTC38,-0.076124158,-0.227774166,-0.331718064,0.163748803,0.094695659,0.197216326,-0.26,0.13,-0.10
SCFD2,-0.329144776,-0.227611672,0.034792057,0.038016166,-0.219510561,-0.254747969,-0.26,0.01,-0.13
VEGFC,0.071687773,-0.227600033,0.067367383,0.078150736,0.12638861,-0.130065868,-0.26,0.02,-0.05
CHCHD10,0.117010449,-0.227565778,0.340467328,0.35566643,0.216282854,-0.5241043,-0.26,-0.04,0.10
SPINK5,0.170467951,-0.227563098,-0.446034123,0.218992997,0.091807177,0.276890047,-0.26,-0.04,0.05
CARTPT,-0.030602363,-0.22751645,0.138063656,-0.012065058,-0.00835459,0.068034992,-0.26,-0.18,-0.18
SELM,0.127577596,-0.227440487,-0.100236757,-0.030531365,-0.076383531,-0.009805987,-0.26,0.15,-0.08
RNF13,-0.095106663,-0.227420745,0.049095781,-0.14554069,0.236176236,0.025249955,-0.26,0.34,0.16
COL8A2,-0.017862459,-0.227415604,-0.060448409,0.144838085,-0.228184322,-0.21448045,-0.26,0.19,0.08
L3MBTL2,0.181226967,-0.227389628,0.215956859,-0.39126035,-0.14508101,-0.43455969,-0.26,-0.10,0.02
RAMP2,-0.14967435,-0.227278333,0.019245633,0.205626291,0.192175338,-0.368963057,-0.26,-0.44,-0.15
LARP1,-0.406108977,-0.227251212,-0.374807906,-0.048986183,-0.099779996,-0.439098579,-0.26,-0.05,-0.20
ADA,-0.138616833,-0.22724784,0.012030035,-0.122514912,-0.200868513,-0.209721404,-0.26,-0.47,-0.02
PPCS,0.027007369,-0.227151883,-0.311543978,-0.115646524,0.247092853,0.189941172,-0.26,0.00,-0.22
C10orf82,0.115529434,-0.227114177,-0.040400627,0.034042431,0.02731184,-0.067846876,-0.26,-0.05,0.52
FAM183A,-0.066056838,-0.227046231,0.079052022,0.129000785,-0.182126979,-0.062629906,-0.26,0.16,0.10
TG,-0.045985307,-0.226906373,-0.332102492,0.030506896,-0.013681871,0.042629502,-0.26,-0.05,0.12
OR6K3,0.002515855,-0.226840114,-0.182437284,0.061875092,0.083762984,0.084211918,-0.26,0.13,-0.09
TNNI1,-0.075693852,-0.226796707,-0.175601739,-0.117823721,-0.041481854,-0.222887489,-0.26,-0.16,-0.16
PURB,-0.005950842,-0.226651401,0.410441356,0.0523486,0.085809374,0.14980898,-0.26,-0.16,0.24
VILL,-0.020778353,-0.226620245,0.131368079,0.132698253,-0.071218084,0.106103654,-0.26,0.13,0.25
CC2D1A,0.014888552,-0.226613297,-0.04138667,0.023452601,0.054092301,-0.022746628,-0.26,0.22,0.13
SAE1,-0.118935041,-0.226484014,0.156415299,0.000188486,-0.151094018,-0.156557263,-0.26,0.14,-0.20
HHIPL2,0.155835413,-0.226452812,-0.06446356,-0.347193218,0.043942508,0.219101313,-0.26,0.19,0.07
RSRC1,-0.003835593,-0.22638433,-0.051065381,0.064314595,0.10161151,-0.149278419,-0.26,-0.09,-0.19
MYC,0.14221133,-0.226312575,0.025864973,-0.162731619,0.033891376,0.085911159,-0.26,0.04,-0.45
KIAA0556,-0.058054065,-0.226273582,0.093367486,0.075634591,0.276870048,-0.082478556,-0.26,-0.14,0.19
KCNJ12,0.027963726,-0.226206412,-0.417416658,0.100534313,-0.011308158,-0.106310333,-0.26,-0.24,-0.13
B2M,-0.013984439,-0.226090213,-0.200772238,0.371440925,0.147968068,0.125762096,-0.26,-0.10,-0.11
TMEM30A,-0.573389056,-0.225941082,0.165276649,0.009910675,-0.079896449,0.007206378,-0.26,0.03,0.21
PKN3,0.049335826,-0.225742555,-0.146910072,0.009428799,0.048712682,0.075028293,-0.26,-0.69,-0.43
IFT81,-0.108790453,-0.225669154,0.20124835,0.003784945,0.015815955,-0.100341224,-0.26,-0.07,-0.09
PPP3CA,0.131491389,-0.225632826,-0.074069133,-0.041050515,0.011060435,0.042949308,-0.26,0.21,-0.08
TRAP1,-0.19375967,-0.225615938,-0.167047526,0.234394526,0.235919617,0.054287517,-0.26,0.11,-0.13
GRSF1,-0.261194576,-0.22559361,-0.080912445,0.05676974,-0.22064331,-0.434350887,-0.26,-0.39,-0.49
GPX5,0.088100976,-0.225212491,0.428915927,0.088405527,-0.095001175,0.127488878,-0.26,-0.06,0.11
LAPTM4B,-0.050517414,-0.225113239,-0.136025171,-0.001734713,-0.050808824,0.107292902,-0.26,-0.26,0.11
SGSM3,0.05855074,-0.225105102,0.227568357,-0.299035361,-0.171130228,0.021037568,-0.26,-0.24,-0.22
PRAF2,0.189483262,-0.22507397,-0.212205898,-0.12165196,0.417884587,0.011290119,-0.26,-0.07,0.18
TPRA1,-0.015898038,-0.225069959,0.011069356,0.060736751,-0.189580608,-0.336186242,-0.26,0.08,0.21
PCDH9,0.152826282,-0.225008451,0.329127595,-0.037036721,-0.201779643,-0.005416288,-0.26,-0.12,-0.07
COX15,-0.052144127,-0.224850518,0.536253833,0.138316216,-0.058379281,0.170000083,-0.26,0.01,-0.37
ZNF283,-0.065927884,-0.224820038,0.240893812,0.062901817,0.34341101,-0.195205755,-0.26,0.17,0.15
SDAD1,-0.165447072,-0.224811597,-0.097761218,-0.103804313,-0.060726445,0.009347761,-0.26,-0.12,0.25
KIAA0040,-0.018959174,-0.224745081,0.218813971,-0.190222085,0.197112659,-0.221573712,-0.26,-0.19,-0.44
TAGLN2,-0.133843103,-0.224719841,-0.090178864,0.151482507,0.018188593,0.04824946,-0.26,-0.25,-0.38
DENND4A,-0.07924224,-0.224690551,-0.150861482,0.083684285,0.146273307,0.161691527,-0.26,0.17,-0.47
NAB1,-0.156855836,-0.224568341,-0.32658825,-0.119120408,0.214038226,-0.374265874,-0.26,-0.03,0.03
UBA5,-0.715719489,-0.224555629,-0.58112058,-0.052909449,0.319872442,0.561149324,-0.26,-0.27,-0.37
C15orf52,-0.067256113,-0.224541871,-0.080441454,0.263513873,-0.059949659,0.001360569,-0.26,-0.05,-0.14
UBE2G1,0.541597158,-0.224528602,0.203448865,0.092582829,0.312838142,0.095729512,-0.26,0.11,-0.23
NEDD9,0.080760071,-0.224509622,0.005474941,-0.135977787,-0.188294692,0.316125212,-0.26,0.37,-0.19
P4HA1,0.012922977,-0.224320993,0.131248511,0.098800829,-0.034589304,0.101833889,-0.26,-0.07,0.04
KPTN,-0.436266864,-0.224277875,0.265479104,-0.123022955,0.304584934,0.050176385,-0.26,0.05,-0.25
UNC119,-0.101277455,-0.224249819,-0.05379893,0.021686286,0.17570746,-0.033349755,-0.26,-0.53,-0.28
MED19,0.542050868,-0.224160908,0.054599528,0.167314975,0.083763323,0.170528794,-0.26,-0.03,0.55
PLXNB1,-0.02908518,-0.224124345,-0.054772661,-0.487050044,-0.184413347,-0.012751129,-0.26,0.01,-0.39
HEXIM1,-0.398405294,-0.224069369,-0.751620824,-0.15390527,-0.511327309,-0.305361907,-0.26,-0.16,-0.25
KIAA1211L,0.006926225,-0.224066596,-0.135598096,-0.213593939,0.125610707,-0.262168821,-0.26,0.15,0.19
CHEK1,0.043146753,-0.224061311,0.198339493,-0.194393487,0.106723874,-0.062526036,-0.26,-0.21,-0.56
NCCRP1,0.091711782,-0.22404723,0.117659214,-0.169807071,-0.145067125,-0.078733847,-0.26,0.16,-0.28
NUDT12,0.124437442,-0.223983267,-0.242848757,0.114682369,0.097564207,0.109272574,-0.26,0.23,-0.08
ACTA1,-0.088976858,-0.223834075,-0.022534625,0.095099983,0.080841348,-0.010038493,-0.26,-0.46,-0.31
IER2,0.088608043,-0.223787047,0.101083111,-0.071698095,-0.123826413,-0.168735353,-0.26,0.23,-0.14
ABL2,-0.098533686,-0.223709847,-0.259106147,0.156397519,0.113889346,-0.137383279,-0.26,-0.13,-0.40
CER1,0.09467632,-0.223668227,0.164587307,-0.215889717,-0.139586196,-0.077937773,-0.26,-0.06,-0.24
C17orf97,0.005016875,-0.22362191,0.054440184,0.033353822,0.038095009,-0.107831488,-0.26,0.19,0.23
SF3B3,0.500718793,-0.2235893,-0.037657433,0.134835737,-0.01691939,0.134477074,-0.26,0.10,-0.07
FGFR3,0.160354798,-0.223567277,-0.163241006,-0.015748177,0.217982291,0.189539417,-0.26,0.06,-0.03
ELP6,0.127931867,-0.223396748,-0.200991395,0.074376636,0.028966545,-0.214569663,-0.26,0.32,-0.03
TSPAN31,0.109667538,-0.223384277,-0.12391645,0.018601794,0.38864552,-0.114378394,-0.26,-0.19,-0.08
UACA,-0.146452188,-0.223368721,-0.110031757,0.408144982,-0.329477097,0.181164568,-0.26,0.04,-0.34
AEBP2,0.46965956,-0.223368576,0.558271958,0.027872363,-0.165169723,-0.137054211,-0.26,-0.20,-0.02
WFDC2,-0.073748897,-0.223320691,-0.118344216,0.078725068,-0.044240692,0.089542896,-0.26,-0.41,-0.37
DIS3L2,-0.472646261,-0.223287487,-0.053005795,0.225679293,0.484737875,-0.092748653,-0.26,-0.28,0.08
CD274,-0.064369091,-0.223228296,0.079856134,0.040964594,0.101530129,-0.08319819,-0.25,-0.04,-0.22
YPEL1,-0.017283207,-0.223206253,-0.172637187,-0.14959004,0.183979882,0.027595045,-0.25,0.61,0.37
ADAM9,0.035948855,-0.223206033,0.079768722,0.012773669,0.089224582,0.138786988,-0.25,0.11,-0.29
EIF4EBP3,0.087888758,-0.223173496,-0.044717817,0.107295881,0.419295235,-0.183230065,-0.25,-0.25,-0.07
COIL,-0.502547183,-0.223022177,0.052010478,0.227704341,0.23581097,-0.108789713,-0.25,0.16,0.01
TNFRSF11A,-0.031701143,-0.223007106,-0.129804655,0.066419392,0.15424671,-0.267773918,-0.25,-0.40,-0.09
KRTAP10-8,-0.138452039,-0.223004339,0.344986778,-0.097066314,-0.585893487,0.070967217,-0.25,-0.08,-0.15
LIN28B,0.270610543,-0.222998553,-0.289575986,0.040106825,0.009155203,-0.058937217,-0.25,0.11,0.18
MANF,-0.534979604,-0.222884948,-0.60693018,-0.11154119,0.232871915,0.094448819,-0.25,-0.09,-0.12
MDM2,0.069100965,-0.222834161,0.063068473,0.24579935,0.307864557,0.256159151,-0.25,-0.07,0.13
GTSF1,0.187636998,-0.222664207,-0.060356239,-0.110146909,0.042230829,0.130140611,-0.25,-0.04,-0.21
MC2R,0.073882594,-0.222622917,0.129150827,-0.072207807,-0.020323447,-0.043454907,-0.25,-0.16,0.45
CETN3,-0.108587061,-0.222598752,-0.033216185,0.101331723,-0.013168626,-0.162119082,-0.25,-0.15,-0.36
KIAA0125,-0.135499988,-0.222496948,-0.408199636,-0.078231452,-0.133505489,-0.03951247,-0.25,-0.35,-0.36
EGR4,0.16561711,-0.222467923,-0.042226065,0.184749286,0.027873642,0.113521208,-0.25,-0.18,-0.22
KCNJ16,-0.022808334,-0.222441839,-0.31879472,0.231028046,0.16998347,-0.241359434,-0.25,0.04,-0.50
COX5B,-0.19729064,-0.222355599,-0.156823152,0.026543537,0.086190553,0.022039868,-0.25,0.22,0.16
SLC9A3R1,0.082464441,-0.222334316,-0.10229573,-0.119960878,-0.107936796,-0.005778524,-0.25,0.01,0.27
DEFB128,0.310735607,-0.222291731,0.295489356,0.020828291,0.489922057,-0.155647962,-0.25,-0.05,0.06
HIST1H4A,0.067392387,-0.222277282,0.152188491,0.027607954,0.130822986,0.088961935,-0.25,0.09,-0.28
MRAP,0.042742973,-0.222260567,0.144727926,-0.3126258,-0.175224457,-0.124097711,-0.25,0.09,0.23
SERPINA5,-0.104025141,-0.222172944,0.004653306,-0.011313696,-0.351524539,0.089363244,-0.25,-0.41,-0.62
MMP19,0.18118316,-0.222129452,-0.07451356,0.311463365,0.012661971,0.207880717,-0.25,0.07,0.10
KLHL4,0.053795722,-0.222111793,-0.036258202,-0.025083491,-0.052723933,-0.108790537,-0.25,0.10,-0.24
SVIP,0.047083707,-0.222054662,0.103182049,0.137739792,-0.157816926,0.164494359,-0.25,0.33,0.13
ABHD3,0.094985285,-0.222048824,-0.259705734,-0.141367555,0.331527111,-0.001801505,-0.25,0.07,-0.01
LYN,-0.002140069,-0.221984984,-0.076886961,0.275246999,-0.228245348,0.474329034,-0.25,-0.32,-0.10
GJB1,-0.09244803,-0.22190923,0.173873415,-0.202821594,-0.108472579,0.505894937,-0.25,0.53,0.19
DUSP19,-0.104270416,-0.221801865,-0.157341799,-0.030905804,-0.075724825,-0.060128978,-0.25,-0.05,-0.14
MYL5,-0.046965494,-0.221748377,0.096332973,0.059652309,-0.127351563,0.092598903,-0.25,-0.10,-0.82
MRPS6,-0.159893226,-0.221706606,0.349776163,-0.606170271,-0.054543464,0.110826287,-0.25,0.14,-0.25
CMSS1,-0.007441645,-0.221608715,0.046540722,-0.143565053,0.270460256,0.009296179,-0.25,-0.17,-0.37
VPS41,-0.185205123,-0.221523426,-0.163975753,0.218227081,-0.351236558,-0.556271763,-0.25,0.09,0.41
C14orf28,-0.081632523,-0.221519643,-0.209481758,0.001402864,-0.114545534,0.095442503,-0.25,-0.22,0.10
VMP1,-0.163500828,-0.221437995,0.176014595,0.103405149,-0.116264769,-0.119529556,-0.25,-0.09,-0.33
LRRC10B,0.035057412,-0.221349803,-0.064867761,0.048611579,0.449566414,-0.026818719,-0.25,-0.07,-0.05
ANGPTL4,0.077728701,-0.22133501,-0.019902176,0.166992478,-0.146955601,0.235426031,-0.25,0.02,-0.25
C7orf34,-0.103929865,-0.221302504,-0.050571659,0.174477926,-0.062514498,-0.05841696,-0.25,-0.36,-0.79
OR5L1,-0.011931528,-0.221234258,0.028751346,0.020838363,-0.122509141,0.192325587,-0.25,-0.04,0.28
PTPRO,0.116115158,-0.221224311,0.213790562,0.04532777,-0.051017357,0.001846614,-0.25,0.21,0.26
ADAP1,-0.007710594,-0.221204992,0.004472738,-0.191494297,0.125033076,0.213627257,-0.25,0.08,0.20
PPM1L,0.106678047,-0.221140295,-0.193208877,-0.088996934,-0.003746329,0.332635253,-0.25,0.15,-0.08
GEMIN2,0.108679303,-0.221005059,0.240766172,-0.009902926,-0.08123226,-0.213186445,-0.25,0.18,0.22
GLRA4,0.10910007,-0.220954666,-0.039934118,0.016351796,-0.012506664,0.15214289,-0.25,-0.02,-0.19
KBTBD6,0.034048945,-0.22088503,0.001322595,-0.031613657,0.276992876,0.029985265,-0.25,0.35,-0.06
NIF3L1,-0.14765291,-0.220838624,0.129012607,-0.150651641,-0.036946956,-0.120750849,-0.25,-0.16,-0.12
CENPE,0.003941622,-0.220783324,0.137844869,-0.214438822,0.029286009,0.067860764,-0.25,0.04,-0.01
RAB28,0.175679062,-0.220768531,0.288450943,0.097550938,0.032978752,0.015724108,-0.25,0.02,-1.40
PRDX5,-0.063555623,-0.22046619,0.247312694,-0.427074469,-0.525469995,0.175149818,-0.25,-0.27,-0.16
BTK,0.187765473,-0.220392452,0.152892269,-0.224921904,0.458443769,-0.220224306,-0.25,-0.04,0.01
APOLD1,0.008048335,-0.2203467,0.017684113,-0.174018342,-0.016784489,-0.307531719,-0.25,-0.12,0.13
CATSPER4,-0.007817067,-0.220227638,-0.131625135,0.149726653,0.005061819,0.16988818,-0.25,-0.02,-0.26
ILF2,-0.657372474,-0.220220477,-0.49392037,-0.026034357,-0.155251085,0.34821026,-0.25,0.15,-0.02
SH2D1A,0.065803849,-0.22011147,-0.106573995,-0.125082216,-0.247209119,-0.021850426,-0.25,-0.14,-0.18
HSPB11,0.157177075,-0.220018915,0.453741943,-0.13090295,-0.201247879,0.301360761,-0.25,-0.35,0.01
SHROOM4,0.0420268,-0.219632634,-0.053219668,-0.092427772,-0.103341388,-0.028421615,-0.25,0.01,0.58
FAM221B,-0.032835014,-0.219505808,-0.008792655,0.044289579,0.17311654,0.01558165,-0.25,-0.07,-0.22
RPL27A,0.013116543,-0.21950498,-0.115322731,0.052073136,-0.13042851,0.407307238,-0.25,-0.30,0.10
RNASEH2A,-0.163722517,-0.219482146,-0.048139874,-0.352501556,0.099315805,-0.320157368,-0.25,0.17,0.06
SLC39A12,0.019884946,-0.219450917,-0.077087185,0.065734854,-0.103738256,0.177395732,-0.25,0.18,-0.47
WDR31,-0.046824708,-0.219430341,-0.148180448,0.12568918,0.256418594,-0.062370272,-0.25,-0.44,-0.02
ANK3,0.062308162,-0.219412478,-0.159507253,-0.222890415,0.11452042,0.00735319,-0.25,-0.21,-0.13
ZNF584,0.128861629,-0.219388439,-0.028181437,0.070928065,-0.08970059,-0.007111641,-0.25,-0.11,0.00
NUGGC,0.051916183,-0.219342179,-0.283484294,0.179717229,0.109820128,-0.060342121,-0.25,0.22,-0.02
OR6C75,0.114500801,-0.219269992,0.1948969,-0.133783157,-0.211695095,0.04660242,-0.25,-0.05,-0.14
ANKRD31,0.022933128,-0.21922173,-0.390435926,-0.085822311,0.178426303,0.033599149,-0.25,0.11,0.28
C9orf53,0.040284765,-0.218994404,-0.238041907,-0.165547133,-0.088040919,0.191850197,-0.25,-0.04,-0.05
PHF21A,0.267671287,-0.218852976,0.071837475,0.107731685,0.168469378,0.009696535,-0.25,0.28,0.29
ACTR1A,0.163852948,-0.2187769,0.372938551,-0.044795246,-0.216790161,0.400252426,-0.25,0.12,0.06
POLK,-0.176272921,-0.21877159,0.084171993,-0.038098611,-0.083604277,0.00937057,-0.25,-0.46,-0.65
BHLHE40,0.011838754,-0.21867241,0.15884332,0.189757231,0.097295075,0.03487004,-0.25,0.06,-0.23
WNT8A,-0.082170977,-0.218471045,0.125540487,-0.078313748,-0.077991966,-0.115746828,-0.25,-0.31,-0.56
FDX1L,-0.250063529,-0.218439016,0.016869369,-0.039366937,0.438812122,-0.017939312,-0.25,-0.25,-0.13
IFI27L1,-0.127482267,-0.218354699,-0.093150314,-0.043997305,0.009060953,-0.253832459,-0.25,-0.24,-0.17
CCAR1,0.313296474,-0.218280761,0.332337209,-0.047109431,0.090872859,0.033804292,-0.25,0.13,0.09
WNT1,-0.066298272,-0.21821923,-0.105966627,0.288100776,-0.030255166,0.099711419,-0.25,-0.04,-0.28
PRPF38B,-0.121149946,-0.218103902,0.125375008,-0.599219493,0.195213947,-0.138968552,-0.25,-0.06,0.15
ARHGEF37,0.043576463,-0.218077624,-0.197643701,-0.005320787,0.144385331,-0.30178132,-0.25,-0.58,-0.46
PMVK,-0.262022919,-0.218055631,-0.169606622,-0.199570776,0.253215265,-0.119948183,-0.25,0.14,-0.05
B4GALT4,-0.213305432,-0.218013533,-0.224877326,0.275484825,-0.157254449,0.088333812,-0.25,-0.61,-0.10
GSTA4,0.02667967,-0.217949845,0.088633209,-0.094485724,-0.207423931,0.238734293,-0.25,0.09,0.13
HAMP,-0.053801968,-0.217755482,0.072411724,0.153661899,-0.158299979,-0.043887327,-0.25,0.28,0.16
CAPN1,-0.121294821,-0.217733825,-0.047865291,0.225075306,-0.286510211,-0.182540563,-0.25,0.16,0.18
PDE4A,-0.125114719,-0.21765715,-0.021606173,0.076526757,-0.140063375,0.013628197,-0.25,-0.49,-0.20
SGPL1,-0.849842584,-0.217650731,-0.125871579,0.037092388,0.27662624,0.177724027,-0.25,0.28,0.10
TGM2,-0.007100832,-0.2176094,0.265099769,-0.012607994,-0.330780042,0.110092617,-0.25,-0.46,0.18
