,NOMO1,MOLM13
PSMG3,-1.3244400792768058,-1.2558127028823425
PSTK,-0.9089296859673324,-0.6643803754330668
PTDSS1,-0.4314120726493234,-0.06432806616858594
PTDSS2,0.008357302974833959,-0.03968819508768405
PTEN,1.2663793476674934,0.09187842922386348
RAB18,-0.6613171361124732,-0.3907976570559258
RAB3GAP1,0.04167667745411072,0.04114071798499472
RABGGTB,-1.3264817433075449,-1.3038488801729735
RAX,-0.13809433879359215,-0.0891978239439219
RCC1,-1.4690445725413481,-1.362929943118277
RD3,0.1428598691645285,0.013179943771323638
RNF17,-0.1898152210019398,-0.2034432297624897
RPA1,-1.1428517986225124,-1.550356661856958
RPL8,-1.5968049381409322,-1.4303606560199338
RPS5,-0.4775836880024261,-0.8739709369979215
RS1,-0.09477968410466896,0.07166478387299409
RXFP3,-0.15482640777133205,-0.22433370911268785
RXRA,-0.1915411293541633,-0.2108383624533589
RXRB,0.01985201221335259,0.11489385741205707
SCAP,-1.320601412159085,-1.4198847972659576
SCD,-0.8346961417332424,-0.920821051584636
SEPSECS,-0.9841198340466624,-0.9677664956498244
SERPINA7,0.0990808173870222,0.2468310547416359
SERPINB12,0.04648087398558684,0.025403936290387192
SF3B3,-1.2930930387455708,-1.6993112369697243
SLC13A1,0.14149268355941433,0.13413633249022067
SLC1A5,-0.5024757203506409,-0.31273455169397346
SLC25A11,-0.4902150629809625,0.01890327515700464
SLC27A1,0.29048001657284794,-0.12251626909560125
SLC27A2,-0.3159065474867456,-0.3758849948652935
SLC27A3,0.13839672327627126,0.09021318239101632
SLC27A4,-0.21752940572979565,0.015585609324444596
SLC27A5,-0.08248864676820092,-0.053042652297143736
SLC36A3,0.16849440167252613,-0.05749891506994456
SLC3A2,-0.7553808270916965,-0.8388924170499401
SLC7A11,0.2783211240839367,0.1344587927143359
SMARCA2,0.14574229029042218,0.20482310558977407
SMARCA4,-1.0327063586582348,-0.33085294784593144
SNRNP25,-1.5160701470534592,-1.4659661925207441
SPC24,-1.6030212771850982,-2.092893468400732
SPEM1,-0.2303100469216329,-0.16952825346132558
SQLE,-0.39816806815665,0.03349991755716414
SREBF1,-0.3839754355193513,-1.070639828393186
SREBF2,-0.5628077326159012,0.16270255951146928
SRSF2,-1.7108640864013112,-2.045005240684824
STAG1,-0.07690146395150063,0.07134623641431573
STAG2,-0.8902514520483726,-1.2424214445566906
SYVN1,-0.332978410028079,-0.7536244583442551
TBC1D20,-0.016685435163087448,-0.08439934000260439
TBXT,0.000638857235840059,-0.034403819190366176
TKTL2,-0.21927174107202807,0.06079997942574863
TMEM41A,-0.06334826735250669,-0.3923858980881995
TONSL,-1.348686394827138,-0.9459184607792628
TP53,-0.5770545643475484,0.21831961044335704
TPH2,-0.3201216301506313,-0.16207246976127654
TRPC7,-0.3319673511873128,-0.2198541331326964
TSC1,0.5566260036763495,-0.5381933480872549
TSSK1B,0.11366913615072248,-0.1309547672918293
TUBGCP2,-1.4454407086582155,-1.5792683017966374
UBE2G2,-0.5856064832959613,-0.6835657836662024
UBQLN3,0.007434888363099096,0.05844341266344143
VCP,-1.5858624449766086,-1.921205959562326
WDR3,-1.0622184921824989,-1.189737936285263
WDR43,-1.5432165105332118,-2.186117981035232
